24000 22
1094 0.4 339
810 1.1 258
1698 0.5 106
1283 0.5 189
924 0.7 356
456 0.8 103
867 0.6 195
1350 0.7 123
1107 1.1 152
674 1.0 329
543 0.8 335
120 1.1 323
1279 0.8 349
1083 0.9 352
572 1.2 335
209 0.7 351
471 0.5 198
1097 0.9 169
1286 0.5 353
366 1.1 136
1240 0.6 304
168 1.0 176
1114 0.5 387
852 0.9 205
267 0.5 140
1390 0.5 195
1207 0.9 241
468 0.5 343
601 0.9 285
621 1.0 124
816 0.4 356
1236 0.5 202
1391 0.5 294
1073 1.1 154
475 0.9 225
1702 0.6 315
1145 0.7 178
1526 0.6 356
1653 0.6 317
1344 1.2 175
1518 0.8 369
770 1.0 345
1216 0.6 251
1550 0.5 236
1535 1.0 124
891 0.7 101
149 0.5 370
1323 1.0 288
607 0.7 359
579 0.5 130
950 0.6 207
1342 1.1 317
858 1.2 124
1609 0.5 208
776 0.9 148
1330 0.8 343
1321 1.0 309
128 0.9 384
1389 0.8 131
1343 1.1 379
