24000 22
1548 1.0 331
162 0.7 322
622 0.8 144
303 1.0 245
1606 0.4 211
914 1.1 287
995 1.2 212
1643 1.1 220
777 0.7 308
1618 1.1 208
1527 0.9 129
868 1.0 221
1301 0.9 102
296 1.1 259
592 0.9 165
1402 1.1 330
1169 1.1 125
1121 0.8 270
254 1.1 311
1474 0.9 249
580 0.9 177
127 0.5 307
1477 0.7 149
630 1.1 109
574 0.8 249
1106 0.6 216
895 1.0 122
1615 1.0 209
927 0.8 165
1589 0.5 299
256 1.1 232
518 0.5 177
1468 0.4 181
658 1.1 301
525 0.7 346
1662 0.8 350
402 0.6 217
1039 0.8 116
535 0.8 291
1635 1.2 278
1389 0.7 391
105 1.0 165
591 0.9 117
771 1.0 178
853 1.0 209
259 0.8 254
1097 1.2 387
1140 1.1 176
853 1.0 309
1286 0.8 304
1621 0.6 380
1582 1.0 279
169 0.6 100
610 0.9 264
369 1.0 163
270 0.8 133
1467 1.1 378
1226 1.0 167
349 1.0 322
1016 1.0 317
