24000 22
430 0.9 124
1315 0.9 268
916 1.0 238
985 0.7 330
1205 1.2 175
728 1.2 171
1021 0.7 242
853 1.2 193
1156 1.1 383
1502 1.2 235
562 1.1 280
447 0.7 132
1649 0.6 286
745 1.0 354
543 0.9 366
1084 0.9 131
1422 1.0 349
527 1.0 367
1308 0.9 166
452 0.4 247
567 0.8 112
302 0.8 199
1107 1.0 290
1596 0.8 367
1563 1.2 244
553 0.9 384
586 0.5 365
1114 1.0 156
791 0.5 119
1402 1.0 284
1234 0.4 160
166 0.9 259
1490 0.5 125
369 0.7 368
223 1.0 196
1360 0.9 336
490 1.0 224
216 1.2 268
572 0.5 228
946 0.4 367
420 0.8 188
333 0.9 376
915 0.7 248
817 0.9 345
1430 0.5 329
120 0.9 312
1455 1.0 155
1090 0.7 138
1044 1.1 242
1140 0.5 197
267 0.9 240
519 0.7 376
242 0.7 159
1222 0.7 170
939 0.7 332
1049 0.5 336
1613 0.5 263
578 0.9 371
874 1.1 285
1652 0.8 318
