24000 22
1427 1.1 146
602 0.4 376
1261 0.4 329
466 0.8 306
561 1.0 288
869 0.6 276
380 0.8 357
1000 1.1 335
768 0.7 268
811 1.0 273
1571 0.5 296
460 1.1 334
1693 0.5 372
868 0.9 310
471 1.0 122
1331 1.1 337
465 0.4 341
737 0.5 156
1301 1.1 255
985 0.4 227
1592 0.9 293
517 0.5 141
113 0.4 197
982 0.5 110
1235 0.7 307
484 0.6 330
1397 1.1 345
1092 0.6 128
303 0.6 342
1293 1.1 152
221 0.6 265
512 1.2 357
1182 0.5 169
1450 0.5 331
1096 0.4 166
1133 0.8 299
1199 1.0 353
920 1.1 205
1625 1.0 131
1469 0.6 254
676 1.2 274
443 1.0 369
1267 1.2 126
667 1.1 336
695 0.4 289
125 0.5 103
1234 1.0 116
1391 0.6 288
250 0.7 204
1474 1.0 229
1258 0.5 253
1011 0.8 352
916 0.5 355
553 1.0 329
1181 1.0 385
1327 0.8 257
1326 1.0 244
1553 0.7 194
1690 0.6 235
780 0.6 219
