24000 22
1216 0.7 294
1539 1.2 220
1199 0.5 290
270 0.9 305
856 1.1 189
1575 0.8 112
769 1.1 277
788 0.7 271
1298 0.5 157
590 0.9 116
476 1.1 333
1698 1.0 229
1123 0.8 199
631 0.6 139
329 1.1 301
1265 0.5 259
704 0.6 117
209 1.0 128
1573 1.0 136
608 1.1 380
869 0.9 289
1194 1.0 131
1161 0.7 315
181 1.2 231
159 1.1 146
725 0.6 326
1174 0.5 234
406 1.1 107
796 0.6 145
1661 1.1 239
1578 0.9 164
915 1.1 124
562 0.9 165
1457 0.7 113
759 0.8 256
1702 1.1 160
923 1.0 100
1297 0.5 181
352 1.1 342
1219 1.1 263
155 0.7 103
1253 0.5 150
1181 0.6 379
1030 0.5 312
379 1.0 381
422 0.7 256
645 1.2 373
1395 0.7 167
312 0.6 187
520 0.5 182
465 0.5 374
1525 0.9 316
329 0.8 218
1190 0.8 147
777 0.6 228
1498 0.5 164
1342 0.9 362
181 0.4 296
1191 1.1 129
1137 0.6 251
