24000 22
162 1.2 153
1048 0.9 246
392 0.9 158
148 1.2 376
337 0.5 362
1253 1.2 129
257 0.7 264
1564 0.7 297
217 0.5 224
1526 0.9 361
441 0.5 322
423 0.7 318
133 1.0 144
1118 0.6 306
1407 0.6 153
440 1.2 390
1113 0.7 263
1534 0.8 217
799 0.4 306
167 0.5 228
809 0.4 249
956 1.0 279
1621 0.5 228
178 1.2 353
845 0.7 156
610 1.0 377
1254 0.6 330
970 0.6 275
855 1.0 286
587 1.2 346
767 0.7 295
355 1.0 224
709 0.9 305
212 0.9 150
453 0.4 116
1087 1.1 164
123 0.9 226
367 0.6 235
1246 0.7 152
433 0.5 109
1522 1.2 150
750 0.8 245
631 0.9 323
436 1.2 383
651 1.2 164
249 0.5 368
1130 0.6 242
842 0.8 384
1110 0.9 152
1492 0.7 163
391 1.1 347
1394 0.8 157
819 0.9 277
113 1.2 173
1310 0.8 184
892 0.5 225
629 0.7 245
484 0.8 124
950 1.1 346
1179 1.1 129
