24000 22
600 0.9 190
873 0.6 102
1054 1.1 296
1287 0.6 123
776 0.8 184
1445 0.8 376
1054 0.9 362
750 0.6 183
1463 0.6 302
460 1.1 337
560 0.8 119
1285 0.5 205
1084 0.7 347
253 0.5 295
377 0.7 103
1035 0.6 203
861 0.9 327
212 0.7 184
1534 0.5 361
575 1.1 201
815 0.7 307
147 0.4 138
898 0.4 121
325 0.6 340
466 1.2 114
978 1.0 234
1686 0.5 202
312 0.5 315
503 1.1 119
1406 1.1 329
537 0.9 138
1457 0.8 274
1375 1.1 382
255 0.9 136
901 0.9 220
279 1.1 185
1314 0.7 289
329 1.0 381
1447 1.2 374
604 0.8 314
817 0.7 326
1041 1.2 293
281 1.0 320
1164 0.5 234
541 0.6 176
1465 0.6 322
890 0.6 108
797 0.5 328
1216 0.9 343
1645 1.0 377
525 1.0 294
1482 0.4 274
121 0.6 278
1194 1.0 271
1630 1.1 271
155 1.0 187
779 1.1 339
1702 0.7 204
989 0.6 255
142 0.6 373
