24000 22
851 0.9 260
1470 0.7 197
146 0.4 123
1544 1.1 207
876 1.1 275
1045 0.5 205
240 1.0 141
1581 0.8 298
1701 0.5 253
449 0.5 302
458 0.9 277
1110 0.5 351
522 0.7 199
1658 1.1 137
215 0.4 373
1437 1.2 324
1690 1.1 146
1537 0.9 389
990 0.6 142
221 1.1 318
455 0.5 325
1455 0.7 317
452 1.2 326
548 0.4 265
264 0.8 113
611 0.9 242
1675 0.9 320
456 1.0 186
945 0.9 134
935 0.5 295
486 0.4 385
182 0.6 283
839 1.0 385
1390 0.4 159
594 0.4 120
425 0.6 174
1082 0.7 186
1119 0.5 264
539 1.1 316
1173 1.0 351
809 1.2 336
779 1.0 180
1610 1.0 314
415 0.6 180
932 0.9 189
564 0.7 111
554 1.0 377
283 1.1 126
1263 1.0 241
1084 0.5 112
685 0.4 103
795 1.1 169
789 1.1 335
325 1.1 377
1453 1.1 112
348 1.0 246
988 0.6 235
540 0.8 115
1503 0.8 270
781 1.1 141
